vertex_1,vertex_2,length,haversine
34928522,1838490469,404.94,0.4049396615237009
34928634,1807791799,537.207,0.5371950878894467
34928733,1243729611,78.145,0.07814518329527961
34928733,1838490475,226.501,0.2265007348688699
34928733,5908910497,276.546,0.276546100206963
35286274,1351272686,77.75,0.0777492278156039
35286274,7350256873,171.58599999999998,0.171489129772904
35549717,1978983358,8.093,0.008092532675400261
35549717,3012563358,136.645,0.135780187429919
35549783,245149541,260.609,0.26060887366782576
35549783,245148548,286.901,0.28690033842025014
35549783,3539236253,177.12,0.17710771302128583
35549783,3529430077,131.86700000000002,0.13186616426559922
35551151,100634167,79.577,0.07957709649953607
35551151,3574930193,110.195,0.11019475848407632
35551151,266112274,269.163,0.2691629566123737
35551151,1819087375,251.052,0.25076078350275705
35551152,3574930193,160.892,0.1608917915567634
35551152,2692317150,61.973,0.06197261721434117
35551152,1038256883,83.102,0.083101570798292
35551152,1840733238,303.334,0.302842367411151
35551154,1977226311,116.445,0.11644467472899384
35551154,35551155,197.083,0.19708351262063417
35551154,530747695,192.49,0.19248985174414257
35551155,35551198,404.944,0.4049411782587351
35551155,35551154,197.083,0.19708351262063417
35551155,1819087374,362.724,0.36272304195398747
35551155,2022785479,343.554,0.30603503117733866
35551157,1819087374,10.719,0.010718836149757808
35551157,3562564193,133.48,0.13348028114391566
35551157,1319039354,462.91799999999995,0.4629180055634333
35551198,1819087340,12.307,0.012306938819267118
35551198,1977226302,343.366,0.34268954065522567
35551198,35551155,404.944,0.4049411782587351
35551808,1114088466,15.554,0.01555377090946606
35551808,1114088484,54.405,0.05440544413552068
35552053,1114083841,11.228,0.011228386531467502
35552053,258971250,133.446,0.1334457920458999
35552056,1842188226,168.048,0.16804842400305134
35552056,1736505397,208.02900000000002,0.2071753303461439
35552059,1736505397,15.058,0.015057919758251196
35552059,1736505388,106.18799999999999,0.10564792995519183
35552318,1918810092,14.133,0.01413259509962623
35552318,1765106538,12.864,0.012864144331629591
35552318,35552319,251.57899999999998,0.2515721244929642
35552319,35552320,234.486,0.2344862524837952
35552319,1918810089,12.773,0.012772612855013268
35552320,1918810087,11.415,0.011414760269423407
35552320,1859897310,11.584,0.011583878566025128
35552320,1918810081,268.736,0.2687362829404076
35552322,1765106526,22.698,0.022698452109181824
35552322,1918630624,8.998,0.008998205996435424
35552324,262259870,524.917,0.5249171758502237
35552324,4134403398,145.256,0.14525561644857113
35552324,1736610693,9.743,0.009743407970304855
35552589,5908910508,10.737,0.010736859932487413
35552589,1305972690,6.717,0.006717233809033288
35552589,1802656878,465.90700000000004,0.4659045517090168
35553136,1351272768,160.00099999999998,0.1600008269285005
35553136,2408401334,587.519,0.5822824085095125
35553581,1802595156,10.541,0.010541307405253223
35553581,2047890999,41.151,0.04115063802630647
35553582,1634403556,156.62,0.15662008007703923
35553582,1634403553,71.921,0.07191314224605008
35553585,1859897261,147.682,0.14719133175393825
35554234,35835567,35.029,0.03502881186465823
35554234,35835570,86.426,0.08642617259763377
35554805,1658109518,15.901,0.01590105455905315
35554805,703216498,195.91099999999997,0.19591069209249476
35554808,1859924770,11.154,0.011153595400392206
35554808,2299866950,163.122,0.1623159819161887
35554809,1859924744,7.337,0.0073368547304353895
35554809,244887890,72.241,0.0719848310093281
35555070,2207734693,13.268,0.013268322044702758
35555070,1634975459,275.064,0.2750638867997905
35555071,1817905634,13.05,0.0130497141214976
35555071,1842187358,477.22,0.4762034833929946
35555071,1634975440,313.109,0.3131078726584473
35555404,1634975465,12.304,0.012303796521431957
35555615,35555616,116.895,0.11689505422324033
35555615,35835744,13.163,0.013162883708687071
35555615,244888025,351.255,0.3491302560226875
35555616,35555619,108.723,0.10872344188615458
35555616,35555615,116.895,0.11689505422324033
35555616,8101041280,251.55700000000002,0.2515538343312764
35555619,35555616,108.723,0.10872344188615458
35555619,35555070,303.107,0.30310084036149615
35555619,1634975448,268.721,0.26804945567959043
35722439,1819087334,11.886,0.01188564358046737
35722439,3581002158,216.742,0.21674169263776985
35722654,345589058,15.408,0.01540827211606465
35722654,1840733227,129.64600000000002,0.12949411493033128
35722669,100655684,191.546,0.1911242712469597
35722669,35722439,221.644,0.21595438073778853
35722724,2417492454,439.113,0.4391125063611903
35722724,244884033,220.05,0.22005019965725878
35722724,76457481,58.444,0.058444335750488866
35722732,1802402421,53.386,0.053386367825931584
35722732,534115614,362.64300000000003,0.3626231723776365
35722734,1802402431,65.557,0.06555683735642066
35722734,35722735,282.45599999999996,0.2824564439869342
35722735,345589969,6.994,0.00699421734683056
35722735,1802595126,13.344,0.013343543184221051
35722735,35722736,269.919,0.26986349744647586
35722736,345589965,6.941,0.00694088419249544
35722736,1802595129,11.646,0.011646172848134084
35722736,35722737,306.35600000000005,0.3063560323496753
35722737,1634975423,9.11,0.00911019072152406
35722737,1802595135,11.076,0.011076343477215443
35722739,345589595,8.488,0.00848832520097947
