n,cost,execution_time
654,0.804114,0.000193
655,0.804723,0.000159
656,0.805005,0.000032
657,0.805147,0.000024
658,0.805147,0.000023
659,0.805647,0.000381
660,0.805647,0.000019
661,0.805747,0.000025
662,0.805888,0.000027
663,0.805988,0.000031
664,0.807488,0.000071
665,0.807998,0.000233
666,0.808498,0.000648
667,0.808598,0.000034
668,0.808914,0.000026
669,0.809014,0.000032
670,0.809238,0.000026
671,0.809338,0.000025
672,0.809479,0.000029
673,0.811605,0.000049
674,0.811605,0.000022
675,0.811805,0.000387
676,0.812122,0.000026
677,0.812704,0.000697
678,0.813065,0.000403
679,0.813206,0.000027
680,0.813706,0.000990
681,0.814023,0.000291
682,0.813945,0.001850
683,0.814799,0.001328
684,0.815160,0.000026
685,0.815360,0.000150
686,0.815360,0.000019
687,0.815583,0.000028
688,0.816093,0.000046
689,0.816317,0.000025
690,0.816317,0.000022
691,0.816827,0.000377
692,0.816743,0.001016
693,0.817026,0.000051
694,0.817249,0.000026
695,0.817249,0.000021
696,0.817610,0.000027
697,0.818504,0.000366
698,0.818704,0.000025
699,0.818928,0.000025
700,0.819734,0.000481
701,0.820146,0.000358
702,0.820288,0.000031
703,0.820388,0.000028
704,0.820688,0.000659
705,0.821469,0.000063
706,0.821693,0.000027
707,0.821793,0.000027
708,0.822372,0.000144
709,0.822572,0.000029
710,0.822872,0.000028
711,0.823155,0.001172
712,0.823883,0.000313
713,0.824107,0.000030
714,0.824529,0.000075
715,0.824753,0.000032
716,0.825035,0.000026
717,0.825177,0.000032
718,0.825318,0.000026
719,0.825679,0.000405
720,0.825820,0.000025
721,0.826181,0.000026
722,0.826781,0.000070
723,0.826981,0.000029
724,0.827081,0.000026
725,0.828029,0.000314
726,0.828129,0.000031
727,0.828542,0.000897
728,0.829323,0.000168
729,0.829523,0.000027
730,0.829723,0.000065
731,0.829946,0.000026
732,0.830229,0.000027
733,0.833883,0.000251
734,0.834200,0.000029
735,0.834300,0.000045
736,0.834400,0.000034
737,0.834500,0.000026
738,0.834700,0.000027
739,0.834923,0.000027
740,0.835065,0.000026
741,0.835365,0.001561
742,0.836165,0.000149
743,0.836448,0.000691
744,0.836808,0.000025
745,0.837108,0.000027
746,0.837608,0.001377
747,0.837832,0.000027
748,0.839472,0.000052
749,0.839788,0.000254
750,0.839929,0.000031
751,0.840562,0.001174
752,0.840878,0.000256
753,0.840978,0.000026
754,0.841120,0.000025
755,0.841620,0.000187
756,0.842401,0.000892
757,0.842683,0.000024
758,0.842783,0.000032
759,0.843183,0.000024
760,0.843544,0.000031
761,0.843768,0.000034
762,0.844009,0.000224
763,0.844509,0.000400
764,0.844609,0.000031
765,0.845390,0.000515
766,0.845490,0.000030
767,0.845590,0.000028
768,0.845951,0.000241
769,0.846051,0.000025
770,0.846251,0.000027
771,0.846351,0.000039
772,0.847157,0.000030
773,0.847380,0.000025
774,0.847480,0.000027
775,0.847680,0.000067
776,0.847822,0.000028
777,0.848105,0.000024
778,0.848615,0.000032
779,0.848838,0.000026
780,0.849566,0.000738
781,0.849666,0.000027
782,0.849766,0.000029
783,0.849766,0.000020
784,0.850591,0.000997
785,0.850907,0.000026
786,0.851108,0.000042
787,0.851608,0.000573
788,0.851608,0.000054
789,0.851808,0.000026
790,0.852255,0.000025
791,0.852396,0.000024
792,0.852844,0.000813
793,0.852985,0.000029
794,0.853126,0.000724
795,0.853226,0.000029
796,0.853326,0.000029
797,0.853526,0.000027
798,0.853668,0.000030
799,0.855394,0.000052
800,0.855618,0.000032
801,0.860806,0.000172
802,0.860806,0.000019
803,0.860906,0.000031
804,0.861406,0.000082
805,0.861506,0.000027
806,0.861706,0.000028
807,0.862216,0.000433
808,0.862316,0.000023
809,0.862728,0.001317
810,0.862870,0.000036
811,0.862970,0.000026
812,0.863382,0.001144
813,0.863682,0.000028
814,0.863906,0.000027
815,0.864006,0.000025
816,0.864147,0.000032
817,0.864818,0.001350
818,0.865525,0.000351
819,0.865625,0.000030
820,0.865986,0.000028
821,0.866846,0.000357
822,0.867670,0.000452
823,0.868083,0.000068
824,0.868811,0.001469
825,0.869171,0.000027
826,0.869439,0.000520
827,0.870201,0.000442
828,0.870625,0.000571
829,0.870986,0.000023
830,0.871386,0.000429
831,0.871609,0.000072
832,0.871809,0.000027
833,0.872257,0.000024
834,0.872457,0.000030
835,0.872957,0.000037
836,0.873664,0.001256
837,0.873764,0.000028
838,0.873987,0.000027
839,0.874087,0.000026
840,0.874696,0.000897
841,0.874796,0.000028
842,0.875296,0.000078
843,0.875551,0.002386
844,0.875851,0.000042
845,0.876051,0.000031
846,0.876351,0.002017
847,0.876851,0.001673
848,0.877434,0.000134
849,0.877576,0.000029
850,0.877676,0.000038
851,0.877817,0.000027
852,0.877917,0.000026
853,0.879373,0.000517
854,0.879873,0.000114
855,0.880373,0.000465
856,0.880515,0.000026
857,0.880615,0.000029
858,0.880715,0.000466
859,0.880815,0.000031
860,0.881621,0.000768
861,0.881844,0.000512
862,0.881844,0.000021
863,0.882068,0.000028
864,0.882168,0.000030
865,0.882580,0.000088
866,0.883163,0.001173
867,0.883988,0.000065
868,0.884554,0.000163
869,0.884695,0.000026
870,0.884795,0.000032
871,0.884937,0.000029
872,0.884937,0.000021
873,0.885237,0.000028
874,0.885378,0.000036
875,0.885519,0.000023
876,0.885523,0.000202
877,0.888243,0.000039
878,0.888343,0.000026
879,0.888443,0.000028
880,0.889009,0.001898
881,0.889232,0.000026
882,0.889732,0.000621
883,0.889874,0.000032
884,0.890157,0.000025
885,0.890353,0.000042
886,0.890891,0.000695
887,0.891316,0.000930
888,0.893500,0.000156
889,0.894209,0.000818
890,0.894309,0.000031
891,0.894409,0.000029
892,0.894770,0.000026
893,0.894970,0.000024
894,0.895382,0.000028
895,0.896686,0.000060
896,0.897393,0.000270
897,0.898442,0.000963
898,0.898642,0.000032
899,0.898899,0.000518
900,0.899607,0.000531
901,0.900368,0.002351
902,0.900468,0.000032
903,0.900568,0.000032
904,0.900792,0.000028
905,0.901204,0.000026
906,0.901304,0.000028
907,0.902110,0.002221
908,0.902310,0.000027
909,0.902310,0.000021
910,0.902410,0.000028
911,0.902726,0.000443
912,0.903551,0.000052
913,0.904457,0.000582
914,0.904557,0.000030
915,0.904969,0.000068
916,0.905193,0.000030
917,0.907036,0.000062
918,0.907353,0.000100
919,0.907353,0.000019
920,0.907553,0.000024
921,0.908193,0.000786
922,0.908393,0.000024
923,0.912105,0.000189
924,0.912930,0.000585
925,0.913468,0.000487
926,0.914274,0.000843
927,0.914591,0.000532
928,0.914791,0.000026
929,0.915491,0.001976
930,0.916099,0.001061
931,0.916299,0.000650
932,0.916499,0.000046
933,0.916640,0.000030
934,0.916957,0.000960
935,0.922824,0.000392
936,0.923047,0.000026
937,0.923271,0.000028
938,0.923371,0.000034
939,0.924225,0.000333
940,0.924725,0.000341
941,0.925172,0.000029
942,0.925314,0.000035
943,0.925985,0.000811
944,0.926126,0.000039
945,0.926487,0.002103
946,0.926787,0.000447
947,0.926887,0.000024
948,0.927387,0.000027
949,0.928247,0.000894
950,0.928347,0.000030
951,0.928488,0.000031
952,0.928935,0.001770
953,0.929135,0.000027
954,0.929277,0.000025
955,0.930083,0.000408
956,0.930507,0.001876
957,0.930507,0.000021
958,0.930824,0.002046
959,0.931047,0.000024
960,0.931189,0.000034
961,0.932137,0.000031
962,0.932237,0.000027
963,0.932944,0.000393
964,0.932986,0.000040
965,0.933693,0.000624
966,0.933793,0.000029
967,0.933993,0.000028
968,0.934309,0.000027
969,0.934625,0.000024
970,0.934767,0.000025
971,0.935438,0.001069
972,0.936038,0.000717
973,0.936398,0.000026
974,0.936998,0.000806
975,0.941077,0.000186
976,0.941177,0.000029
977,0.941319,0.000714
978,0.941542,0.000028
979,0.941742,0.000027
980,0.945853,0.000247
981,0.945953,0.000029
982,0.946409,0.000596
983,0.946919,0.000847
984,0.947119,0.000650
985,0.947219,0.000029
986,0.947419,0.000026
987,0.967192,0.000049
988,0.967702,0.000112
989,0.967702,0.000024
990,0.968114,0.001329
991,0.968697,0.001211
992,0.969110,0.000026
993,0.969310,0.000030
994,0.969334,0.000327
995,0.969558,0.000044
996,0.969781,0.000032
997,0.970421,0.000773
998,0.971276,0.000610
999,0.971859,0.000049
1000,0.972561,0.000453
1001,0.972703,0.000027
1002,0.973003,0.000026
1003,0.973286,0.000024
1004,0.973733,0.000025
1005,0.973833,0.000030
1006,0.974033,0.000034
1007,0.974133,0.000026
1008,0.974333,0.000032
1009,0.974433,0.000030
1010,0.975327,0.001878
1011,0.975427,0.000031
1012,0.975427,0.000019
